Samples	axisX	axisY	axisZ	DB	Tissue
GSM2114346	5.1552925	0.9858266	-1.6741968	GEO	Blood
GSM2114347	7.4329357	1.1263613	-0.9508194	GEO	Blood
GSM2114348	6.259202	0.7347952	-1.0445592	GEO	Blood
GSM2114349	6.0458193	0.69582397	-1.1183336	GEO	Blood
GSM2114350	6.415548	0.7595789	-1.0123129	GEO	Blood
GSM2114351	6.402333	0.74931	-1.0100182	GEO	Blood
GSM2114352	6.4530983	0.7793487	-1.0226578	GEO	Blood
GSM2114353	6.3007183	0.72910494	-1.0346882	GEO	Blood
GSM2114354	6.22753	0.65708137	-1.0095987	GEO	Blood
GSM2114355	6.3193974	0.7460095	-1.0282506	GEO	Blood
GSM2114356	8.011077	1.0044734	-0.8618765	GEO	Blood
GSM2114357	7.431479	1.0973475	-0.9676205	GEO	Blood
GSM2114358	4.8939075	0.6045271	-1.7152182	GEO	Blood
GSM2114359	6.3479996	0.728344	-1.0715308	GEO	Blood
GSM2114360	8.51741	16.239368	4.35745	GEO	Blood
GSM2136955	8.517504	16.238863	4.3572793	GEO	Pancreas
GSM2136956	8.517638	16.23857	4.357212	GEO	Pancreas
GSM2136957	8.517762	16.238514	4.3572125	GEO	Pancreas
